X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
0.00	-35.48	26.91	-35.4849	-0.248348
1.00	-70.93	25.51	-35.4421	-0.291784
2.00	-106.26	24.14	-35.3375	-0.273519
3.00	-141.50	22.79	-35.233	-0.255254
4.00	-176.63	21.46	-35.1337	-0.2422
5.00	-211.67	20.15	-35.0337	-0.228542
6.00	-246.55	18.90	-34.8833	-0.16436
7.00	-281.28	17.72	-34.7328	-0.100178
8.00	-316.07	16.40	-34.7925	-0.246126
9.00	-350.93	14.94	-34.8524	-0.392287
10.00	-385.83	13.35	-34.902	-0.528219
11.00	-420.78	11.62	-34.9517	-0.66415
12.00	-455.72	9.82	-34.9385	-0.737222
13.00	-490.64	7.96	-34.9245	-0.809536
14.00	-525.42	6.16	-34.7733	-0.744551
15.00	-560.04	4.44	-34.622	-0.679567
16.00	-594.42	2.87	-34.3862	-0.53007
17.00	-628.57	1.45	-34.1504	-0.380489
18.00	-662.48	0.18	-33.909	-0.225372
19.00	-696.15	-0.92	-33.6676	-0.0702563
20.00	-729.59	-1.87	-33.4391	0.0719565
21.00	-762.80	-2.68	-33.2104	0.214371
22.00	-795.74	-3.30	-32.9391	0.399447
23.00	-828.41	-3.73	-32.6674	0.584845
24.00	-860.75	-3.93	-32.3473	0.818641
25.00	-892.78	-3.88	-32.0272	1.05244
26.00	-924.58	-3.69	-31.8019	1.19146
27.00	-956.16	-3.37	-31.5778	1.32937
28.00	-987.54	-2.92	-31.38	1.44084
29.00	-1018.72	-2.36	-31.1823	1.55231
30.00	-1049.91	-1.88	-31.1824	1.4659
31.00	-1081.09	-1.49	-31.1829	1.37912
32.00	-1112.26	-1.16	-31.167	1.3087
33.00	-1143.41	-0.90	-31.1512	1.23829
34.00	-1174.59	-0.75	-31.1798	1.12344
35.00	-1205.83	-0.75	-31.2457	0.971245
36.00	-1237.12	-0.87	-31.2892	0.841423
37.00	-1268.47	-1.14	-31.346	0.698399
38.00	-1299.79	-1.46	-31.3206	0.63754
39.00	-1331.09	-1.84	-31.297	0.574865
40.00	-1362.34	-2.25	-31.2531	0.532474
41.00	-1393.52	-2.69	-31.1867	0.512554
42.00	-1424.67	-3.16	-31.1432	0.469782
43.00	-1455.80	-3.70	-31.1281	0.398665
44.00	-1486.92	-4.32	-31.1259	0.314568
45.00	-1518.01	-4.98	-31.0891	0.265119
46.00	-1549.02	-5.66	-31.0132	0.254742
47.00	-1579.95	-6.33	-30.929	0.25262
48.00	-1610.80	-6.99	-30.8445	0.250897
49.00	-1641.59	-7.69	-30.7954	0.213712
50.00	-1672.34	-8.43	-30.7517	0.171115
51.00	-1703.10	-9.26	-30.7546	0.0819213
52.00	-1733.88	-10.19	-30.7774	-0.0271878
53.00	-1764.59	-11.14	-30.7129	-0.0489319
54.00	-1795.26	-12.12	-30.6665	-0.0888254
55.00	-1825.78	-13.05	-30.5237	-0.032297
56.00	-1856.14	-13.89	-30.3605	0.0446532
57.00	-1886.36	-14.67	-30.2171	0.101818
58.00	-1916.37	-15.34	-30.0169	0.215749
59.00	-1946.32	-16.01	-29.9473	0.199077
60.00	-1976.12	-16.63	-29.8029	0.257161
61.00	-2005.81	-17.21	-29.6889	0.284845
62.00	-2035.35	-17.72	-29.5317	0.355841
63.00	-2064.67	-18.11	-29.3258	0.475468
64.00	-2093.90	-18.47	-29.2243	0.490665
65.00	-2122.95	-18.75	-29.0555	0.57316
66.00	-2151.84	-18.95	-28.8878	0.654638
67.00	-2180.59	-19.09	-28.7528	0.703289
68.00	-2209.21	-19.18	-28.6219	0.747923
69.00	-2237.74	-19.26	-28.5267	0.756868
70.00	-2266.12	-19.28	-28.3831	0.814205
71.00	-2294.34	-19.22	-28.2193	0.891722
72.00	-2322.45	-19.13	-28.1087	0.916101
73.00	-2350.36	-18.92	-27.9117	1.02674
74.00	-2378.07	-18.60	-27.7063	1.14588
75.00	-2405.51	-18.09	-27.4416	1.32429
76.00	-2432.66	-17.37	-27.1523	1.5274
77.00	-2459.53	-16.45	-26.8676	1.72582
78.00	-2486.05	-15.26	-26.5194	1.98768
79.00	-2512.39	-13.98	-26.3397	2.08117
80.00	-2538.52	-12.57	-26.13	2.20452
81.00	-2564.51	-11.11	-25.9903	2.25794
82.00	-2590.36	-9.58	-25.8464	2.31556
83.00	-2616.06	-7.99	-25.7055	2.37021
84.00	-2641.84	-6.56	-25.7828	2.20669
85.00	-2667.60	-5.19	-25.751	2.15213
