X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
-221.0	175.6	-1.5	-3.4	-1.77579
-220.0	172.2	-3.3	-2.55	-0.933182
-219.0	170.5	-3.4	-1.85	-0.240575
-218.0	168.5	-3.8	-1.25	0.352032
-217.0	168.0	-2.7	-1.65	-0.0553617
-216.0	165.2	-3.9	-1.9	-0.312755
-215.0	164.2	-3.4	-1.05	0.529852
-214.0	163.1	-2.9	-1.2	0.372458
-213.0	161.8	-2.7	-1.4	0.165065
-212.0	160.3	-2.6	-1.55	0.00767181
-211.0	158.7	-2.7	-1.75	-0.199721
-210.0	156.8	-3.0	-2.3	-0.757115
-209.0	154.1	-4.2	-1.9	-0.364508
-208.0	153.0	-3.8	-0.95	0.578099
-207.0	152.2	-3.0	-1.05	0.470705
-206.0	150.9	-2.9	-1.4	0.113312
-205.0	149.4	-2.9	-1.45	0.0559188
-204.0	148.0	-2.8	-1.2	0.298525
-203.0	147.0	-2.3	-1.1	0.391132
-202.0	145.8	-2.1	-1.65	-0.166261
-201.0	143.7	-2.6	-1.75	-0.273654
-200.0	142.3	-2.5	-1.35	0.118952
-199.0	141.0	-2.4	-1.3	0.161559
-198.0	139.7	-2.2	-1.05	0.404166
-197.0	138.9	-1.7	-1.1	0.346772
-196.0	137.5	-1.6	-1.5	-0.0606209
-195.0	135.9	-1.8	-1.5	-0.0680142
-194.0	134.5	-1.7	-1.55	-0.125407
-193.0	132.8	-2.0	-1.65	-0.232801
-192.0	131.2	-2.2	-1.6	-0.190194
-191.0	129.6	-2.4	-1.3	0.102413
-190.0	128.6	-2.0	-1.05	0.345019
-189.0	127.5	-1.7	-1	0.387626
-188.0	126.6	-1.3	-1.4	-0.0197672
-187.0	124.7	-1.8	-1.65	-0.277161
-186.0	123.3	-1.8	-1.25	0.115446
-185.0	122.2	-1.6	-1.1	0.258053
-184.0	121.1	-1.3	-0.8	0.55066
-183.0	120.6	-0.5	-1.2	0.143266
-182.0	118.7	-1.1	-1.75E+00	-0.414127
-181.0	117.1	-1.3	-1.55	-0.22152
-180.0	115.6	-1.5	-1.25	0.0710864
-179.0	114.6	-1.3	-0.85	0.463693
-178.0	113.9	-0.6	-1.1	0.2063
-177.0	112.4	-0.8	-0.75	0.548907
-176.0	112.4	0.4	-0.5	0.791513
-175.0	111.4	0.8	-1.35	-0.0658801
-174.0	109.7	0.4	-1.75	-0.473273
-173.0	107.9	-0.2	-1.35	-0.0806667
-172.0	107.0	0.2	-0.9	0.36194
-171.0	106.1	0.5	-1.05	0.204547
-170.0	104.9	0.6	-1.1	0.147153
-169.0	103.9	0.8	-0.6	0.63976
-168.0	103.7	1.9	-0.75	0.482367
-167.0	102.4	1.7	-1.2	0.0249736
-166.0	101.3	1.9	-1.3	-0.0824197
-165.0	99.8	1.6	-1.75	-0.539813
-164.0	97.8	0.8	-1.55	-0.347206
-163.0	96.7	0.9	-0.9	0.2954
-162.0	96.0	1.3	-0.5	0.688007
-161.0	95.7	2.2	-0.15	1.03061
-160.0	95.7	3.4	-0.9	0.273221
-159.0	93.9	2.8	-1.55	-0.384173
-158.0	92.6	2.6	-1.4	-0.241566
-157.0	91.1	2.3	-1.75	-0.598959
-156.0	89.1	1.4	-1.45	-0.306353
-155.0	88.2	1.6	-0.65	0.486254
-154.0	87.8	2.4	-0.9	0.228861
-153.0	86.4	2.1	-1.2	-0.0785325
-152.0	85.4	2.2	-0.75	0.364074
-151.0	84.9	2.8	-1.05	0.0566809
