X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
-44.88	3.69	3.58	-0.0882353	-0.0851915
-43.86	3.60	3.53	-0.0784314	-0.0767618
-42.84	3.53	3.50	-0.0882353	-0.0879399
-41.82	3.42	3.41	-0.156863	-0.157942
-40.80	3.21	3.23	-0.181373	-0.183826
-39.78	3.05	3.10	-0.166667	-0.170494
-38.76	2.87	2.96	-0.0980392	-0.103241
-37.74	2.85	2.97	-0.0343137	-0.0408895
-36.72	2.80	2.94	-0.0294118	-0.0373618
-35.70	2.79	2.96	-0.0196078	-0.0289321
-34.68	2.76	2.95	-0.122549	-0.133248
-33.66	2.54	2.75	-0.215686	-0.227759
-32.64	2.32	2.56	-0.142157	-0.155604
-31.62	2.25	2.51	-0.127451	-0.142272
-30.60	2.06	2.34	-0.107843	-0.124039
-29.58	2.03	2.32	0.112745	0.0951754
-28.56	2.29	2.60	0.176471	0.157527
-27.54	2.39	2.72	-0.00980392	-0.0301221
-26.52	2.27	2.62	-0.0539216	-0.075614
-25.50	2.28	2.64	0.0637255	0.0406589
-24.48	2.40	2.77	0.147059	0.122618
-23.46	2.58	2.96	0.0931373	0.0673222
-22.44	2.59	2.98	0.102941	0.0757519
-21.42	2.79	3.19	0.171569	0.143005
-20.40	2.94	3.35	0.107843	0.0779053
-19.38	3.01	3.43	0.0637255	0.0324135
-18.36	3.07	3.50	0.127451	0.0947647
-17.34	3.27	3.70	0.137255	0.103194
-16.32	3.35	3.78	-0.0245098	-0.0599445
-15.30	3.22	3.66	-0.122549	-0.159358
-14.28	3.10	3.54	-0.0588235	-0.0970067
-13.26	3.10	3.54	0	-0.0395574
-12.24	3.10	3.54	-0.00980392	-0.0507356
-11.22	3.08	3.51	-0.0980392	-0.140345
-10.20	2.90	3.33	-0.137255	-0.180935
-9.18	2.80	3.23	-0.0784314	-0.123486
-8.16	2.74	3.16	-0.0637255	-0.110154
-7.14	2.67	3.09	-0.102941	-0.150744
-6.12	2.53	2.94	-0.0490196	-0.0981967
-5.10	2.57	2.97	0.0294118	-0.0211395
-4.08	2.59	2.98	-0.0490196	-0.100945
-3.06	2.47	2.85	-0.0931373	-0.146437
-2.04	2.40	2.76	-0.107843	-0.162517
-1.02	2.25	2.60	0.00980392	-0.0462443
0.00	2.42	2.75	0.181373	0.12395
1.02	2.62	2.94	0.0196078	-0.0391889
2.04	2.46	2.76	-0.127451	-0.187622
3.06	2.36	2.64	0.156863	0.0953176
4.08	2.78	3.04	0.210784	0.147865
5.10	2.79	3.03	-0.328431	-0.392725
6.12	2.11	2.33	-0.269608	-0.335276
7.14	2.24	2.44	-0.0686275	-0.13567
8.16	1.97	2.14	-0.0931373	-0.161554
9.18	2.05	2.20	0.0294118	-0.0403788
10.20	2.03	2.15	-0.122549	-0.193714
11.22	1.80	1.89	0.0294118	-0.0431273
12.24	2.09	2.16	0.122549	0.0486357
13.26	2.05	2.09	-0.0980392	-0.173327
14.28	1.89	1.90	-0.0833333	-0.159995
15.30	1.88	1.85	0.0441176	-0.0339184
16.32	1.98	1.92	0.186275	0.106864
17.34	2.26	2.17	0.127451	0.0466665
18.36	2.24	2.10	0.0147059	-0.0674528
19.38	2.29	2.12	0.0882353	0.00470235
20.40	2.42	2.21	0.107843	0.022936
21.42	2.51	2.26	0.102941	0.0166598
22.44	2.63	2.34	0.102941	0.0152855
23.46	2.72	2.38	0.0588235	-0.0302064
24.48	2.75	2.38	0.00490196	-0.0855022
25.50	2.73	2.31	-0.0343137	-0.126092
26.52	2.68	2.22	-0.0637255	-0.156878
27.54	2.60	2.09	-0.0931373	-0.187664
28.56	2.49	1.93	-0.00980392	-0.105705
29.58	2.58	1.97	0.0735294	-0.0237459
30.60	2.64	1.99	0.0784314	-0.0202182
31.62	2.74	2.03	0.0784314	-0.0215924
32.64	2.80	2.04	0.0196078	-0.0817902
33.66	2.78	1.97	-0.0980392	-0.200811
34.68	2.60	1.74	-0.142157	-0.246303
35.70	2.49	1.56	-0.00980392	-0.115325
36.72	2.58	1.60	0.0931373	-0.0137577
37.74	2.68	1.64	0.0441176	-0.0641515
38.76	2.67	1.57	-0.485294	-0.594938
39.78	1.69	0.53	-0.539216	-0.650233
40.80	1.57	0.35	-0.102941	-0.215333
41.82	1.48	0.20	-0.107843	-0.221609
42.84	1.35	0.01	-0.117647	-0.232787
43.86	1.24	-0.18	-0.107843	-0.224358
44.88	1.13	-0.35	-0.147059	-0.264948
45.90	0.94	-0.61	-0.0833333	-0.202596
46.92	0.96	-0.65	0.0392157	-0.0814216
47.94	1.02	-0.66	-0.0294118	-0.151423
48.96	0.90	-0.86	-0.0833333	-0.206719
49.98	0.85	-0.98	0.0882353	-0.0365247
51.00	1.08	-0.82	0.142157	0.0160226
52.02	1.14	-0.84	-0.0245098	-0.152018
53.04	1.03	-1.02	-0.0490196	-0.177902
54.06	1.04	-1.09	0.0196078	-0.110649
55.08	1.07	-1.13	0.0196078	-0.112023
56.10	1.08	-1.20	-0.0441176	-0.177123
57.12	0.98	-1.38	-0.0686275	-0.203007
58.14	0.94	-1.50	0.00490196	-0.130852
59.16	0.99	-1.54	-0.0147059	-0.151834
60.18	0.91	-1.70	-0.107843	-0.246345
61.20	0.77	-1.93	-0.0931373	-0.233014
62.22	0.72	-2.06	-0.0343137	-0.175565
63.24	0.70	-2.17	-0.0441176	-0.186743
64.26	0.63	-2.32	0.0441176	-0.0998816
65.28	0.79	-2.26	0.0833333	-0.0620402
66.30	0.80	-2.34	-0.0784314	-0.225179
67.32	0.63	-2.60	-0.127451	-0.275573
68.34	0.54	-2.79	0.0735294	-0.0759668
69.36	0.78	-2.63	0.416667	0.265796
70.38	1.39	-2.12	0.25	0.0977553
71.40	1.29	-2.32	-0.0392157	-0.192835
72.42	1.31	-2.40	0.0735294	-0.0814637
73.44	1.44	-2.37	0.0980392	-0.0583282
74.46	1.51	-2.39	-0.563725	-0.721467
