X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
152.00	-14493.00	-43.18	68.1137	-2.36307
153.00	-14423.00	-45.24	69.9731	-2.67219
154.00	-14351.10	-47.56	71.8813	-2.93243
155.00	-14275.90	-48.72	75.2113	-1.771
156.00	-14198.10	-49.47	77.7827	-1.36814
157.00	-14117.90	-49.95	80.2237	-1.09565
158.00	-14035.20	-50.06	82.7629	-0.724913
159.00	-13950.00	-49.97	85.1247	-0.531586
160.00	-13861.90	-49.05	88.1283	0.30341
161.00	-13772.10	-48.62	89.8051	-0.188253
162.00	-13680.80	-48.83	91.3306	-0.831267
163.00	-13587.60	-49.33	93.2063	-1.12409
164.00	-13491.70	-49.36	95.8485	-0.650444
165.00	-13394.40	-50.06	97.3409	-1.32652
166.00	-13294.80	-50.73	99.5467	-1.28919
167.00	-13193.30	-51.63	101.474	-1.53084
168.00	-13089.80	-52.61	103.568	-1.60526
169.00	-12983.40	-52.95	106.379	-0.962572
170.00	-12874.50	-52.95	108.882	-0.627685
171.00	-12763.20	-52.70	111.296	-0.382699
172.00	-12650.00	-52.71	113.209	-0.638212
173.00	-12534.20	-52.31	115.781	-0.234426
174.00	-12416.30	-51.95	117.916	-0.26794
175.00	-12296.20	-51.51	120.157	-0.195653
176.00	-12173.10	-50.34	123.066	0.544833
177.00	-12047.60	-48.85	125.543	0.85362
178.00	-11919.20	-46.74	128.333	1.47491
179.00	-11789.50	-45.42	129.71	0.683393
180.00	-11657.50	-44.00	131.974	0.778379
181.00	-11522.80	-41.95	134.774	1.41087
182.00	-11384.90	-38.96	137.886	2.35385
183.00	-11245.10	-36.29	139.736	2.03494
184.00	-11103.40	-33.77	141.75	1.88042
185.00	-10959.60	-31.42	143.742	1.70451
186.00	-10814.10	-29.46	145.522	1.3157
187.00	-10666.40	-27.46	147.73	1.35488
188.00	-10517.20	-26.16	149.203	0.659771
189.00	-10366.80	-25.81	150.415	-0.297143
190.00	-10214.20	-25.47	152.577	-0.303057
191.00	-10060.40	-26.12	153.753	-1.29537
192.00	-9904.60	-26.84	155.849	-1.36838
193.00	-9745.63	-26.61	158.966	-0.419297
194.00	-9584.36	-26.24	161.274	-0.280011
195.00	-9420.34	-25.29	164.02	0.297076
196.00	-9254.28	-24.48	166.056	0.164362
197.00	-9085.19	-22.79	169.093	1.03345
198.00	-8914.18	-21.35	171.013	0.784335
199.00	-8740.05	-18.98	174.122	1.72502
200.00	-8563.85	-16.68	176.207	1.64181
201.00	-8385.58	-14.49	178.27	1.53609
202.00	-8205.71	-12.86	179.87	0.967681
203.00	-8022.83	-10.40	182.878	1.80687
204.00	-7837.48	-7.63	185.346	2.10635
205.00	-7649.74	-4.64	187.74	2.33174
206.00	-7460.35	-2.16	189.399	1.82243
207.00	-7268.76	0.34	191.586	1.84061
208.00	-7075.45	2.40	193.307	1.3937
209.00	-6880.09	4.34	195.36	1.27829
210.00	-6682.43	6.42	197.665	1.41477
211.00	-6483.16	7.93	199.27	0.850959
212.00	-6282.00	9.17	201.16	0.572545
213.00	-6078.56	10.52	203.438	0.682031
214.00	-5873.22	11.61	205.342	0.417618
215.00	-5664.70	13.70	208.518	1.4249
216.00	-5454.20	15.60	210.498	1.23639
217.00	-5241.67	17.37	212.531	1.10048
218.00	-5027.74	18.38	213.932	0.333564
219.00	-4811.37	19.65	216.369	0.60195
220.00	-4592.35	21.41	219.022	1.08584
221.00	-4371.33	22.99	221.014	0.909423
222.00	-4147.83	24.90	223.507	1.23401
223.00	-3921.64	27.33	226.191	1.75
224.00	-3692.44	30.59	229.192	2.58178
225.00	-3461.16	33.77	231.284	2.50597
226.00	-3227.23	37.43	233.928	2.98146
227.00	-2991.14	41.09	236.092	2.97684
228.00	-2752.56	45.06	238.576	3.29173
229.00	-2511.95	48.90	240.613	3.16091
230.00	-2269.65	52.26	242.297	2.6767
231.00	-2025.40	55.41	244.257	2.46769
232.00	-1779.20	58.33	246.194	2.23637
233.00	-1530.68	61.41	248.523	2.39666
234.00	-1280.85	63.62	249.825	1.52965
235.00	-1029.34	65.36	251.516	1.05243
236.00	-775.47	67.28	253.865	1.23362
237.00	-519.05	69.60	256.424	1.62341
238.00	-260.46	71.90	258.587	1.61789
239.00	0.01	73.93	260.475	1.33718
