gID15-M1+ML-C-15-ABBA3ave.slp
Rc (m)	SLP err rms (urad) 	HGT err rms (nm)	PV profile (um)	PV HGT err (nm)
29497.264374	0.161316	0.990542	0.337309	4.505771

x (mm)	slope error (urad)	x (mm)	HGT error (nm)	HGT  (um)
-25.999995	0.047596	-25.999995	-0.095071	0.018250
-24.999995	0.080917	-24.999995	-0.022248	0.017259
-23.999995	0.099494	-23.999995	0.075656	0.016328
-22.999995	0.086849	-22.999995	0.176264	0.015433
-21.999995	0.060031	-21.999995	0.257329	0.014554
-20.999995	0.024118	-20.999995	0.306963	0.013677
-19.999995	-0.015975	-19.999995	0.318741	0.012796
-18.999995	-0.045001	-18.999995	0.296121	0.011915
-17.999995	-0.057336	-17.999995	0.251908	0.011046
-16.999995	-0.089249	-16.999995	0.185132	0.010189
-15.999995	-0.112486	-15.999995	0.092050	0.009340
-14.999995	-0.081205	-14.999995	0.003095	0.008530
-13.999995	-0.023092	-13.999995	-0.042877	0.007796
-12.999995	0.020365	-12.999995	-0.039846	0.007146
-11.999995	0.018212	-11.999995	-0.016636	0.006550
-10.999995	-0.008145	-10.999995	-0.006680	0.005975
-9.999995	-0.018944	-9.999995	-0.015596	0.005415
-8.999995	-0.054979	-8.999995	-0.048556	0.004866
-7.999995	-0.092423	-7.999995	-0.117455	0.004314
-6.999995	-0.103499	-6.999995	-0.210751	0.003773
-5.999995	-0.109467	-5.999995	-0.312313	0.003257
-4.999995	-0.063691	-4.999995	-0.393488	0.002796
-3.999995	0.023513	-3.999995	-0.409606	0.002434
-2.999995	0.106815	-2.999995	-0.342404	0.002190
-1.999995	0.151827	-1.999995	-0.211398	0.002043
-0.999995	0.189188	-0.999995	-0.039441	0.001972
0.000005	0.190029	0.000005	0.149629	0.001952
1.000005	0.100878	1.000005	0.293996	0.001921
2.000005	-0.037912	2.000005	0.326558	0.001813
3.000005	-0.149671	3.000005	0.234327	0.001614
4.000005	-0.274847	4.000005	0.022484	0.001330
5.000005	-0.414748	5.000005	-0.319094	0.000950
6.000005	-0.420421	6.000005	-0.730847	0.000535
7.000005	-0.302320	7.000005	-1.089365	0.000206
8.000005	-0.179867	8.000005	-1.330833	0.000029
9.000005	-0.075388	9.000005	-1.458439	0.000000
10.000005	0.065531	10.000005	-1.462049	0.000129
11.000005	0.263889	11.000005	-1.298498	0.000459
12.000005	0.392838	12.000005	-0.976148	0.000983
13.000005	0.359366	13.000005	-0.605668	0.001589
14.000005	0.288418	14.000005	-0.283308	0.002180
15.000005	0.264472	15.000005	-0.007821	0.002759
16.000005	0.243695	16.000005	0.243526	0.003348
17.000005	0.197712	17.000005	0.460622	0.003937
18.000005	0.126184	18.000005	0.618532	0.004501
19.000005	0.021906	19.000005	0.689644	0.005013
20.000005	-0.041803	20.000005	0.677640	0.005475
21.000005	-0.082955	21.000005	0.612163	0.005918
22.000005	-0.120485	22.000005	0.507790	0.006357
23.000005	-0.100934	23.000005	0.394708	0.006820
24.000005	-0.051206	24.000005	0.314652	0.007352
25.000005	-0.008733	25.000005	0.280676	0.007963
26.000005	0.076019	26.000005	0.309080	0.008671
27.000005	0.107521	27.000005	0.393541	0.009469
28.000005	0.095029	28.000005	0.488309	0.010311
29.000005	0.080949	29.000005	0.570447	0.011176
30.000005	0.067431	30.000005	0.638444	0.012060
31.000005	0.049045	31.000005	0.689644	0.012961
32.000005	0.003758	32.000005	0.708657	0.013865
33.000005	-0.050045	33.000005	0.678428	0.014753
34.000005	-0.103097	34.000005	0.594891	0.015623
35.000005	-0.145832	35.000005	0.464158	0.016479
36.000005	-0.141209	36.000005	0.314528	0.017350
37.000005	-0.105515	37.000005	0.183455	0.018275
38.000005	-0.086218	38.000005	0.077995	0.019259
39.000005	-0.113087	39.000005	-0.030991	0.020274
40.000005	-0.130761	40.000005	-0.160799	0.021302
41.000005	-0.111934	41.000005	-0.291411	0.022363
42.000005	-0.136997	42.000005	-0.426910	0.023454
43.000005	-0.197357	43.000005	-0.603930	0.024537
44.000005	-0.231375	44.000005	-0.826390	0.025610
45.000005	-0.203603	45.000005	-1.052121	0.026713
46.000005	-0.143484	46.000005	-1.235508	0.027892
47.000005	-0.085303	47.000005	-1.360975	0.029164
48.000005	-0.040724	48.000005	-1.435257	0.030521
49.000005	0.005647	49.000005	-1.464204	0.031957
50.000005	0.044877	50.000005	-1.451315	0.033470
51.000005	0.052724	51.000005	-1.416132	0.035039
52.000005	0.006765	52.000005	-1.400570	0.036623
53.000005	-0.084525	53.000005	-1.452860	0.038172
54.000005	-0.179456	54.000005	-1.596285	0.039665
55.000005	-0.211771	55.000005	-1.800950	0.041131
55.999995	-0.120140	55.999995	-1.975972	0.042661
56.999995	0.045927	56.999995	-2.025076	0.044351
57.999995	0.208404	57.999995	-1.912164	0.046237
58.999995	0.350715	58.999995	-1.647796	0.048308
59.999995	0.457413	59.999995	-1.260213	0.050537
60.999995	0.495197	60.999995	-0.801989	0.052871
61.999995	0.433651	61.999995	-0.356762	0.055226
62.999995	0.262768	62.999995	-0.026397	0.057500
63.999995	0.070601	63.999995	0.126218	0.059631
64.999995	-0.036586	64.999995	0.131186	0.061648
65.999995	-0.054498	65.999995	0.071285	0.063635
66.999995	-0.085617	66.999995	-0.016320	0.065628
67.999995	-0.167432	67.999995	-0.159882	0.067599
68.999995	-0.224838	68.999995	-0.371838	0.069536
69.999995	-0.261463	69.999995	-0.630739	0.071460
70.999995	-0.257149	70.999995	-0.905473	0.073403
71.999995	-0.203442	71.999995	-1.151939	0.075408
72.999995	-0.131329	72.999995	-1.337240	0.077509
73.999995	-0.080431	73.999995	-1.461054	0.079705
74.999995	0.001074	74.999995	-1.517377	0.082002
75.999995	0.136387	75.999995	-1.466518	0.084441
76.999995	0.256507	76.999995	-1.289523	0.087041
77.999995	0.367757	77.999995	-0.997803	0.089789
78.999995	0.430807	78.999995	-0.620401	0.092657
79.999995	0.427593	79.999995	-0.213143	0.095589
80.999995	0.386397	80.999995	0.172387	0.098534
81.999995	0.314931	81.999995	0.501354	0.101456
82.999995	0.207449	82.999995	0.741674	0.104324
83.999995	0.122507	83.999995	0.888091	0.107132
84.999995	0.125522	84.999995	0.993611	0.109933
85.999995	0.167380	85.999995	1.119126	0.112789
86.999995	0.193153	86.999995	1.275977	0.115710
87.999995	0.151824	87.999995	1.423617	0.118656
88.999995	0.038809	88.999995	1.495753	0.121560
89.999995	-0.048180	89.999995	1.470892	0.124402
90.999995	-0.049498	90.999995	1.403227	0.127235
91.999995	0.053109	91.999995	1.384835	0.130152
92.999995	0.188707	92.999995	1.481724	0.133218
93.999995	0.257886	93.999995	1.677679	0.136417
94.999995	0.213741	94.999995	1.883557	0.139661
95.999995	-0.008247	95.999995	1.958940	0.142808
96.999995	-0.207025	96.999995	1.832507	0.145787
97.999995	-0.159253	97.999995	1.632860	0.148727
98.999995	0.034675	98.999995	1.545747	0.151815
99.999995	0.089090	99.999995	1.576031	0.155053
100.999995	-0.022358	100.999995	1.579528	0.158299
101.999995	-0.177244	101.999995	1.454921	0.161451
102.999995	-0.241795	102.999995	1.224469	0.164532
103.999995	-0.150785	103.999995	1.005697	0.167658
104.999995	-0.030648	104.999995	0.887651	0.170920
105.999995	0.025491	105.999995	0.855276	0.174301
106.999995	0.005465	106.999995	0.841918	0.177735
107.999995	-0.019380	107.999995	0.807223	0.181182
108.999995	-0.054484	108.999995	0.743287	0.184634
109.999995	-0.046109	109.999995	0.665332	0.188106
110.999995	-0.066291	110.999995	0.579770	0.191605
111.999995	-0.111687	111.999995	0.462931	0.195107
112.999995	-0.099875	112.999995	0.328827	0.198625
113.999995	-0.122908	113.999995	0.186680	0.202170
114.999995	-0.192320	114.999995	-0.000459	0.205704
115.999995	-0.224450	115.999995	-0.235575	0.209224
116.999995	-0.155700	116.999995	-0.451307	0.212797
117.999995	0.015023	117.999995	-0.550658	0.216522
118.999995	0.138671	118.999995	-0.508033	0.220422
119.999995	0.127325	119.999995	-0.409871	0.224412
120.999995	0.052591	120.999995	-0.351761	0.228396
121.999995	-0.000664	121.999995	-0.356232	0.232352
122.999995	-0.036267	122.999995	-0.406410	0.236296
123.999995	-0.098636	123.999995	-0.504704	0.240227
124.999995	-0.088460	124.999995	-0.627272	0.244167
125.999995	-0.004428	125.999995	-0.704273	0.248187
126.999995	0.091460	126.999995	-0.693305	0.252329
127.999995	0.178689	127.999995	-0.591981	0.256595
128.999995	0.233445	128.999995	-0.421083	0.260966
129.999995	0.223629	129.999995	-0.230054	0.265390
130.999995	0.085645	130.999995	-0.112139	0.269776
131.999995	-0.079131	131.999995	-0.143151	0.274047
132.999995	-0.192199	132.999995	-0.309821	0.278217
133.999995	-0.345218	133.999995	-0.626655	0.282270
134.999995	-0.572476	134.999995	-1.057365	0.286244
