gID15-M2+ML-C-15-ABBA3ave.slp
Rc (m)	SLP err rms (µrad) 	HGT err rms (nm)	PV profile (µm)	PV HGT err (nm)
-469152.084158	0.157758	1.300303	0.046457	5.423531

x (mm)	slope error (µrad)	x (mm)	HGT error (nm)	HGT  (µm)
-26.000003	0.063041	-26.000003	-0.561746	0.041353
-25.000003	0.094878	-25.000003	-0.480821	0.041343
-24.000003	0.096164	-24.000003	-0.383637	0.041347
-23.000003	0.073293	-23.000003	-0.296739	0.041339
-22.000003	0.042192	-22.000003	-0.236881	0.041301
-21.000003	-0.017595	-21.000003	-0.222240	0.041216
-20.000003	-0.076713	-20.000003	-0.266195	0.041071
-19.000003	-0.125319	-19.000003	-0.363944	0.040869
-18.000003	-0.171917	-18.000003	-0.508765	0.040618
-17.000003	-0.184540	-17.000003	-0.682221	0.040337
-16.000003	-0.150294	-16.000003	-0.845594	0.040063
-15.000003	-0.118990	-15.000003	-0.976980	0.039819
-14.000003	-0.080558	-14.000003	-1.073463	0.039608
-13.000003	-0.045363	-13.000003	-1.133840	0.039431
-12.000003	-0.038973	-12.000003	-1.173532	0.039272
-11.000003	-0.042872	-11.000003	-1.211897	0.039112
-10.000003	-0.073659	-10.000003	-1.267652	0.038933
-9.000003	-0.118923	-9.000003	-1.360597	0.038715
-8.000003	-0.152963	-8.000003	-1.491747	0.038456
-7.000003	-0.133928	-7.000003	-1.629723	0.038188
-6.000003	-0.073172	-6.000003	-1.728922	0.037957
-5.000003	-0.014966	-5.000003	-1.769192	0.037782
-4.000003	0.056505	-4.000003	-1.744732	0.037670
-3.000003	0.118265	-3.000003	-1.654338	0.037622
-2.000003	0.158661	-2.000003	-1.513019	0.037623
-1.000003	0.180017	-1.000003	-1.341567	0.037651
-0.000003	0.142383	-0.000003	-1.178573	0.037669
0.999997	0.068463	0.999997	-1.070270	0.037630
1.999997	-0.014280	1.999997	-1.040133	0.037511
2.999997	-0.127313	2.999997	-1.107722	0.037292
3.999997	-0.243310	3.999997	-1.288500	0.036957
4.999997	-0.327909	4.999997	-1.567385	0.036522
5.999997	-0.312314	5.999997	-1.878977	0.036053
6.999997	-0.181049	6.999997	-2.119257	0.035652
7.999997	-0.053210	7.999997	-2.233220	0.035376
8.999997	0.033035	8.999997	-2.238927	0.035205
9.999997	0.172215	9.999997	-2.130033	0.035147
10.999997	0.358438	10.999997	-1.861563	0.035247
11.999997	0.445681	11.999997	-1.459625	0.035478
12.999997	0.421281	12.999997	-1.025141	0.035739
13.999997	0.349924	13.999997	-0.636494	0.035952
14.999997	0.262936	14.999997	-0.325791	0.036085
15.999997	0.186038	15.999997	-0.096717	0.036134
16.999997	0.106655	16.999997	0.053936	0.036103
17.999997	0.021911	17.999997	0.122858	0.035987
18.999997	-0.051340	18.999997	0.113306	0.035792
19.999997	-0.106703	19.999997	0.039955	0.035530
20.999997	-0.128168	20.999997	-0.071340	0.035228
21.999997	-0.111155	21.999997	-0.185454	0.034921
22.999997	-0.090668	22.999997	-0.281056	0.034630
23.999997	-0.045014	23.999997	-0.343408	0.034370
24.999997	0.010718	24.999997	-0.356096	0.034158
25.999997	0.040270	25.999997	-0.326674	0.033986
26.999997	0.052439	26.999997	-0.275909	0.033833
27.999997	0.059640	27.999997	-0.215563	0.033688
28.999997	0.042509	28.999997	-0.160493	0.033535
29.999997	0.003538	29.999997	-0.132876	0.033352
30.999997	-0.033019	30.999997	-0.142589	0.033130
31.999997	-0.072536	31.999997	-0.189030	0.032869
32.999997	-0.048715	32.999997	-0.243171	0.032598
33.999997	-0.022785	33.999997	-0.274288	0.032348
34.999997	-0.024273	34.999997	-0.293189	0.032108
35.999997	-0.025857	35.999997	-0.313459	0.031864
36.999997	-0.048828	36.999997	-0.345377	0.031607
37.999997	-0.043580	37.999997	-0.385862	0.031339
38.999997	-0.047579	38.999997	-0.426258	0.031068
39.999997	-0.050962	39.999997	-0.470366	0.030792
40.999997	-0.066597	40.999997	-0.524004	0.030505
41.999997	-0.084575	41.999997	-0.593804	0.030198
42.999997	-0.085785	42.999997	-0.672460	0.029881
43.999997	-0.055899	43.999997	-0.736578	0.029576
44.999997	-0.001594	44.999997	-0.760554	0.029310
45.999997	-0.011893	45.999997	-0.764077	0.029061
46.999997	-0.074133	46.999997	-0.800778	0.028777
47.999997	-0.054529	47.999997	-0.856413	0.028472
48.999997	0.025649	48.999997	-0.864150	0.028213
49.999997	0.089979	49.999997	-0.802092	0.028021
50.999997	0.094962	50.999997	-0.706192	0.027861
51.999997	0.043043	51.999997	-0.632205	0.027677
52.999997	0.004453	52.999997	-0.601727	0.027448
53.999997	-0.009214	53.999997	-0.597537	0.027189
55.000003	-0.019175	55.000003	-0.604679	0.026918
56.000003	0.016955	56.000003	-0.597742	0.026658
57.000003	0.102574	57.000003	-0.530617	0.026456
58.000003	0.199467	58.000003	-0.373246	0.026342
59.000003	0.295341	59.000003	-0.120078	0.026322
60.000003	0.372412	60.000003	0.218455	0.026385
61.000003	0.393364	61.000003	0.604915	0.026494
62.000003	0.341525	62.000003	0.975029	0.026585
63.000003	0.188252	63.000003	1.243848	0.026571
64.000003	0.020805	64.000003	1.356848	0.026400
65.000003	-0.032072	65.000003	1.361237	0.026118
66.000003	-0.026649	66.000003	1.338186	0.025807
67.000003	-0.086799	67.000003	1.286630	0.025465
68.000003	-0.145360	68.000003	1.178290	0.025064
69.000003	-0.148029	69.000003	1.039712	0.024630
70.000003	-0.132992	70.000003	0.905768	0.024199
71.000003	-0.138400	71.000003	0.776706	0.023771
72.000003	-0.124773	72.000003	0.652647	0.023345
73.000003	-0.090697	73.000003	0.552710	0.022941
74.000003	-0.026517	74.000003	0.501844	0.022585
75.000003	0.053401	75.000003	0.522972	0.022298
76.000003	0.158792	76.000003	0.636314	0.022101
77.000003	0.256897	77.000003	0.850321	0.022003
78.000003	0.326512	78.000003	1.147321	0.021985
79.000003	0.345269	79.000003	1.488225	0.022009
80.000003	0.320023	80.000003	1.826674	0.022029
81.000003	0.279940	81.000003	2.132891	0.022014
82.000003	0.214589	82.000003	2.386154	0.021944
83.000003	0.121086	83.000003	2.560780	0.021793
84.000003	0.038320	84.000003	2.647954	0.021553
85.000003	-0.041786	85.000003	2.653892	0.021229
86.000003	-0.103535	86.000003	2.589134	0.020833
87.000003	-0.153459	87.000003	2.468401	0.020378
88.000003	-0.193643	88.000003	2.303221	0.019876
89.000003	-0.194797	89.000003	2.118055	0.019353
90.000003	-0.155346	90.000003	1.951499	0.018846
91.000003	-0.104704	91.000003	1.828510	0.018380
92.000003	-0.086428	92.000003	1.739546	0.017946
93.000003	-0.079749	93.000003	1.663671	0.017523
94.000003	-0.078005	94.000003	1.592007	0.017102
95.000003	-0.089836	95.000003	1.515349	0.016674
96.000003	-0.106159	96.000003	1.424743	0.016230
97.000003	-0.131863	97.000003	1.313648	0.015763
98.000003	-0.138824	98.000003	1.186562	0.015278
99.000003	-0.140714	99.000003	1.054479	0.014786
100.000003	-0.153213	100.000003	0.915244	0.014284
