Dim : 460 X 50 X 50 mm
Scan lenght : 429.5 mm
x(mm)	Slope (urad)
87.5	-3177.75541
87.75	-3172.08175
88	-3166.35073
88.25	-3160.59417
88.5	-3154.83028
88.75	-3149.06857
89	-3143.29749
89.25	-3137.50249
89.5	-3131.67828
89.75	-3125.83294
90	-3120.01887
90.25	-3114.27837
90.5	-3108.56917
90.75	-3102.83734
91	-3097.06686
91.25	-3091.25389
91.5	-3085.40529
91.75	-3079.54608
92	-3073.76337
92.25	-3068.11602
92.5	-3062.48779
92.75	-3056.76201
93	-3050.99533
93.25	-3045.26204
93.5	-3039.53349
93.75	-3033.76716
94	-3027.96797
94.25	-3022.15162
94.5	-3016.3294
94.75	-3010.50694
95	-3004.67128
95.25	-2998.8141
95.5	-2992.96399
95.75	-2987.15237
96	-2981.3851
96.25	-2975.65372
96.5	-2969.91812
96.75	-2964.1433
97	-2958.34636
97.25	-2952.55404
97.5	-2946.77942
97.75	-2941.02614
98	-2935.27372
98.25	-2929.50041
98.5	-2923.7036
98.75	-2917.88656
99	-2912.05697
99.25	-2906.22954
99.5	-2900.44245
99.75	-2894.71925
100	-2889.00143
100.25	-2883.23699
100.5	-2877.48193
100.75	-2871.78903
101	-2866.0902
101.25	-2860.31953
101.5	-2854.54075
101.75	-2848.81616
102	-2843.07276
102.25	-2837.2424
102.5	-2831.41162
102.75	-2825.66912
103	-2819.95735
103.25	-2814.20726
103.5	-2808.44998
103.75	-2802.72318
104	-2796.99053
104.25	-2791.21297
104.5	-2785.41461
104.75	-2779.62723
105	-2773.84992
105.25	-2768.06759
105.5	-2762.241
105.75	-2756.34901
106	-2750.46714
106.25	-2744.67424
106.5	-2738.96578
106.75	-2733.30673
107	-2727.62338
107.25	-2721.85515
107.5	-2716.03245
107.75	-2710.20154
108	-2704.38088
108.25	-2698.58013
108.5	-2692.80161
108.75	-2687.04464
109	-2681.30407
109.25	-2675.57779
109.5	-2669.88048
109.75	-2664.21343
110	-2658.50766
110.25	-2652.70648
110.5	-2646.87257
110.75	-2641.07046
111	-2635.25277
111.25	-2629.37005
111.5	-2623.47669
111.75	-2617.63665
112	-2611.84848
112.25	-2606.09061
112.5	-2600.32644
112.75	-2594.53052
113	-2588.73694
113.25	-2582.9797
113.5	-2577.23282
113.75	-2571.46783
114	-2565.70639
114.25	-2559.96286
114.5	-2554.17248
114.75	-2548.28341
115	-2542.37472
115.25	-2536.52807
115.5	-2530.70447
115.75	-2524.86257
116	-2519.07195
116.25	-2513.38912
116.5	-2507.70701
116.75	-2501.92044
117	-2496.09514
117.25	-2490.31687
117.5	-2484.58045
117.75	-2478.86073
118	-2473.14376
118.25	-2467.41542
118.5	-2461.64958
118.75	-2455.83532
119	-2450.03437
119.25	-2444.29479
119.5	-2438.5372
