Dim : 460 X 50 X 50 mm
Scan lenght : 429.5 mm
x(mm)	Slope (urad)
363	3188.9287
363.25	3194.66948
363.5	3200.45292
363.75	3206.28095
364	3212.11196
364.25	3217.91018
364.5	3223.70663
364.75	3229.53136
365	3235.34378
365.25	3241.10613
365.5	3246.86275
365.75	3252.6568
366	3258.4447
366.25	3264.18138
366.5	3269.90259
366.75	3275.64497
367	3281.36796
367.25	3287.0341
367.5	3292.69542
367.75	3298.41119
368	3304.18015
368.25	3309.97455
368.5	3315.72125
368.75	3321.36885
369	3326.99837
369.25	3332.69277
369.5	3338.41032
369.75	3344.10119
370	3349.80769
370.25	3355.58031
370.5	3361.41006
370.75	3367.26741
371	3373.10003
371.25	3378.87301
371.5	3384.64384
371.75	3390.4697
372	3396.31387
372.25	3402.1334
372.5	3407.95424
372.75	3413.80763
373	3419.67704
373.25	3425.53518
373.5	3431.35943
373.75	3437.13284
374	3442.85626
374.25	3448.54395
374.5	3454.24587
374.75	3459.99926
375	3465.75462
375.25	3471.46588
375.5	3477.18755
375.75	3482.98786
376	3488.8893
376.25	3494.88184
376.5	3500.87122
376.75	3506.77785
377	3512.66525
377.25	3518.59971
377.5	3524.51567
377.75	3530.3426
378	3536.12184
378.25	3541.90436
378.5	3547.66767
378.75	3553.38658
379	3559.09863
379.25	3564.84142
379.5	3570.59013
379.75	3576.30887
380	3581.97976
380.25	3587.61006
380.5	3593.28952
380.75	3599.09003
381	3604.92949
381.25	3610.70888
381.5	3616.41533
381.75	3622.0637
382	3627.69356
382.25	3633.34633
382.5	3639.04625
382.75	3644.8086
383	3650.63025
383.25	3656.49897
383.5	3662.38477
383.75	3668.25641
384	3674.09558
384.25	3679.89301
384.5	3685.66269
384.75	3691.4221
385	3697.17943
385.25	3702.93395
385.5	3708.65856
385.75	3714.33965
386	3720.04404
386.25	3725.82788
386.5	3731.62426
386.75	3737.35743
387	3743.03921
387.25	3748.69866
387.5	3754.34604
387.75	3759.98921
388	3765.6452
388.25	3771.32864
388.5	3777.03537
388.75	3782.76006
389	3788.51159
389.25	3794.30521
389.5	3800.16775
389.75	3806.10225
390	3812.00517
390.25	3817.79143
390.5	3823.55641
390.75	3829.40776
391	3835.32181
391.25	3841.24823
391.5	3847.16117
391.75	3853.05087
392	3858.9473
392.25	3864.87602
392.5	3870.80519
392.75	3876.70168
393	3882.58465
393.25	3888.48059
393.5	3894.39285
393.75	3900.31746
394	3906.24406
394.25	3912.15407
394.5	3918.00247
394.75	3923.76237
395	3929.50606
395.25	3935.31034
395.5	3941.17091
395.75	3947.06352
396	3952.96538
396.25	3958.8486
396.5	3964.66362
396.75	3970.38512
397	3976.10652
397.25	3981.91192
397.5	3987.72933
397.75	3993.4825
398	3999.23438
398.25	4005.0475
398.5	4010.84362
398.75	4016.54661
399	4022.22961
399.25	4027.97797
399.5	4033.7767
399.75	4039.59196
400	4045.41486
400.25	4051.23696
400.5	4057.02656
400.75	4062.76776
401	4068.53112
401.25	4074.37972
401.5	4080.26004
401.75	4086.10656
402	4091.92221
402.25	4097.72505
402.5	4103.52529
402.75	4109.33013
403	4115.1426
403.25	4120.96526
403.5	4126.80308
403.75	4132.66122
404	4138.54322
404.25	4144.44933
404.5	4150.36833
404.75	4156.28043
405	4162.14318
405.25	4167.93089
405.5	4173.70773
405.75	4179.5345
406	4185.36885
406.25	4191.15524
406.5	4196.88868
406.75	4202.58996
407	4208.33245
407.25	4214.17103
407.5	4220.03421
407.75	4225.84435
408	4231.62566
408.25	4237.40851
408.5	4243.14587
408.75	4248.80829
409	4254.51397
409.25	4260.35851
409.5	4266.19961
409.75	4271.90362
410	4277.60931
410.25	4283.45915
410.5	4289.33796
410.75	4295.11177
411	4300.82923
411.25	4306.56194
411.5	4312.29083
411.75	4317.99291
412	4323.72027
412.25	4329.51921
412.5	4335.33788
412.75	4341.12028
413	4346.89206
413.25	4352.68673
413.5	4358.48754
413.75	4364.27813
414	4370.0939
414.25	4375.95906
414.5	4381.80122
414.75	4387.55261
415	4393.26046
415.25	4398.9903
415.5	4404.76588
415.75	4410.58366
416	4416.37277
416.25	4422.07745
416.5	4427.76991
416.75	4433.52635
417	4439.31104
417.25	4445.07452
417.5	4450.82439
417.75	4456.57798
418	4462.33465
418.25	4468.08855
418.5	4473.83101
418.75	4479.56223
419	4485.32083
419.25	4491.13014
419.5	4496.91381
419.75	4502.60738
420	4508.29342
420.25	4514.05173
420.5	4519.80396
420.75	4525.47029
421	4531.12312
421.25	4536.85053
421.5	4542.6513
421.75	4548.49841
422	4554.35112
422.25	4560.17713
422.5	4565.99182
422.75	4571.81436
423	4577.63165
423.25	4583.4233
423.5	4589.172
423.75	4594.87886
424	4600.61571
424.25	4606.44665
424.5	4612.33438
424.75	4618.22537
425	4624.10277
425.25	4629.95622
425.5	4635.76457
425.75	4641.51582
426	4647.24509
426.25	4652.99019
426.5	4658.75258
426.75	4664.52405
427	4670.29434
427.25	4676.06202
427.5	4681.86299
427.75	4687.71833
428	4693.55233
428.25	4699.29923
428.5	4705.02963
428.75	4710.82208
429	4716.65046
429.25	4722.47497
429.5	4728.30575
429.75	4734.15467
430	4739.99053
430.25	4745.78565
430.5	4751.56942
430.75	4757.37451
431	4763.18966
431.25	4768.99237
431.5	4774.7593
431.75	4780.49152
432	4786.28859
432.25	4792.22083
432.5	4798.14322
432.75	4803.91825
433	4809.65393
433.25	4815.47215
433.5	4821.30474
433.75	4827.07351
434	4832.85014
434.25	4838.7103
434.5	4844.59578
434.75	4850.42901
435	4856.18897
435.25	4861.88665
435.5	4867.60457
435.75	4873.40907
436	4879.23013
436.25	4884.99473
436.5	4890.75423
436.75	4896.56115
437	4902.34829
437.25	4908.0556
437.5	4913.77154
437.75	4919.58064
438	4925.40336
438.25	4931.15507
438.5	4936.89485
438.75	4942.68291
439	4948.44056
439.25	4954.09758
439.5	4959.75667
439.75	4965.51909
440	4971.30737
440.25	4977.03489
440.5	4982.75737
440.75	4988.53411
441	4994.29643
441.25	4999.99773
441.5	5005.80771
441.75	5011.61935
442	5016.00239
