RoC (km)  slope error   rms (urad)  shape error   rms (nm)
PV (um)  PV-shape error (nm)
10450.12  0.437  10.854  5.995  52.842
x(mm)  slope error (urad)  height error (nm)  Height (um)  
-165  -0.291  4.65  1.26  
-164  -0.189  4.52  1.244  
-163  -0.016  4.524  1.229  
-162  0.156  4.698  1.213  
-161  0.255  5.005  1.199  
-160  0.258  5.366  1.184  
-159  0.366  5.785  1.169  
-158  0.531  6.339  1.155  
-157  0.681  7.047  1.141  
-156  0.744  7.858  1.127  
-155  0.681  8.669  1.113  
-154  0.528  9.375  1.099  
-153  0.416  9.949  1.085  
-152  0.232  10.374  1.072  
-151  0.108  10.649  1.058  
-150  0.055  10.833  1.044  
-149  0.007  10.966  1.03  
-148  -0.023  11.059  1.016  
-147  -0.034  11.13  1.002  
-146  -0.107  11.155  0.988  
-145  -0.311  11.046  0.975  
-144  -0.38  10.804  0.961  
-143  -0.421  10.5  0.947  
-142  -0.597  10.087  0.933  
-141  -0.772  9.506  0.919  
-140  -0.702  8.877  0.906  
-139  -0.416  8.415  0.892  
-138  -0.391  8.101  0.879  
-137  -0.445  7.78  0.866  
-136  -0.447  7.436  0.852  
-135  -0.263  7.179  0.839  
-134  -0.181  7.05  0.827  
-133  -0.121  6.995  0.814  
-132  -0.044  7.006  0.802  
-131  -0.087  7.033  0.789  
-130  -0.146  7.01  0.777  
-129  -0.253  6.906  0.765  
-128  -0.281  6.734  0.753  
-127  -0.328  6.524  0.741  
-126  -0.311  6.299  0.729  
-125  -0.319  6.075  0.717  
-124  -0.447  5.784  0.705  
-123  -0.477  5.42  0.693  
-122  -0.338  5.109  0.681  
-121  -0.151  4.955  0.67  
-120  -0.061  4.936  0.658  
-119  -0.096  4.944  0.647  
-118  -0.264  4.855  0.636  
-117  -0.293  4.674  0.625  
-116  -0.14  4.551  0.614  
-115  -0.036  4.553  0.603  
-114  0.105  4.675  0.592  
-113  0.125  4.875  0.582  
-112  0.036  5.043  0.572  
-111  0.02  5.164  0.561  
-110  0.133  5.329  0.551  
-109  0.128  5.545  0.541  
-108  0.102  5.747  0.531  
-107  0.056  5.911  0.522  
-106  -0.04  6.003  0.512  
-105  -0.258  5.942  0.502  
-104  -0.307  5.75  0.492  
-103  -0.329  5.518  0.482  
-102  -0.38  5.247  0.472  
-101  -0.516  4.882  0.463  
-100  -0.683  4.368  0.453  
-99  -0.837  3.696  0.443  
-98  -0.819  2.96  0.433  
-97  -0.602  2.338  0.423  
-96  -0.41  1.914  0.414  
-95  -0.274  1.656  0.405  
-94  -0.103  1.549  0.396  
-93  -0.018  1.567  0.387  
-92  -0.096  1.589  0.379  
-91  -0.188  1.53  0.37  
-90  -0.211  1.417  0.362  
-89  -0.101  1.343  0.353  
-88  -0.105  1.319  0.345  
-87  -0.125  1.289  0.337  
-86  0.058  1.341  0.329  
-85  0.276  1.586  0.321  
-84  0.397  1.995  0.314  
-83  0.243  2.387  0.307  
-82  -0.012  2.585  0.299  
-81  -0.053  2.638  0.292  
-80  0.013  2.698  0.284  
-79  0.022  2.793  0.277  
-78  0.052  2.91  0.27  
-77  0.124  3.076  0.263  
-76  0.179  3.303  0.256  
-75  0.135  3.534  0.25  
-74  0.066  3.712  0.243  
-73  0.051  3.849  0.236  
-72  0.11  4.006  0.23  
-71  0.099  4.186  0.223  
-70  0.139  4.38  0.217  
-69  0.08  4.561  0.211  
-68  -0.072  4.639  0.205  
-67  -0.154  4.603  0.199  
-66  -0.183  4.511  0.192  
-65  -0.178  4.403  0.186  
-64  -0.275  4.25  0.18  
-63  -0.281  4.05  0.174  
-62  -0.154  3.906  0.169  
-61  -0.083  3.854  0.163  
-60  -0.253  3.753  0.157  
-59  -0.476  3.463  0.152  
-58  -0.468  3.073  0.146  
-57  -0.233  2.798  0.14  
-56  -0.016  2.74  0.135  
-55  0.004  2.802  0.13  
-54  0.064  2.908  0.125  
-53  0.193  3.106  0.121  
-52  0.226  3.381  0.116  
-51  0.152  3.637  0.112  
-50  0.041  3.804  0.108  
-49  0.032  3.913  0.103  
-48  0.133  4.064  0.099  
