145mmx45mmx45mm 	
Scan Length = 118 mm	
measurement step = 0.2 mm	
x(mm)	Slope (urad)
-4.8	-515.56056
-4.6	-494.1062208
-4.4	-472.6423795
-4.2	-451.0329043
-4	-429.555731
-3.8	-408.0668256
-3.6	-386.537003
-3.4	-364.9992298
-3.2	-343.4086618
-3	-321.8662344
-2.8	-300.3151291
-2.6	-278.8192426
-2.4	-257.3612674
-2.2	-235.9689826
-2	-214.599241
-1.8	-193.2329899
-1.6	-171.8011939
-1.4	-150.4049338
-1.2	-129.0592867
-1	-107.6413075
-0.8	-86.20989936
-0.6	-64.67614992
-0.4	-43.14668126
-0.2	-21.61913726
3.01E-13	-0.06880529
0.2	21.39946954
0.4	42.91804474
0.6	64.45420848
0.8	86.00487744
1	107.5998086
1.2	129.1068941
1.4	150.5641421
1.6	172.0537262
1.8	193.5082109
2	214.9681253
2.2	236.4510677
2.4	257.8809245
2.6	279.3541709
2.8	300.8105462
3	322.3054147
3.2	343.8109003
3.4	365.3201189
3.6	386.8925069
3.8	408.3677894
4	429.8532528
4.2	451.3047802
4.4	472.6802424
4.6	494.1042816
4.8	515.5455312
5	536.957208
5.2	558.5007504
5.4	579.878976
5.6	601.3590096
5.8	622.829832
6	644.243448
6.2	665.7438432
6.4	687.1274016
6.6	708.5458656
6.8	730.0583808
7	751.435152
7.2	772.960272
7.4	794.4558192
7.6	815.9145216
7.8	837.5385408
8	859.058328
8.2	880.5800544
8.4	902.1536544
8.6	923.6642304
8.8	945.1796544
9	966.6970176
9.2	988.160568
9.4	1009.703626
9.6	1031.113363
9.8	1052.615213
10	1074.124819
10.2	1095.488986
10.4	1117.011682
10.6	1138.499472
10.8	1159.93248
11	1181.499778
11.2	1202.943451
11.4	1224.463723
11.6	1246.016962
11.8	1267.417488
12	1288.939699
12.2	1310.370768
12.4	1331.796989
12.6	1353.196546
12.8	1374.521443
13	1395.911304
13.2	1417.246382
13.4	1438.665331
13.6	1460.120155
13.8	1481.583221
14	1503.054043
14.2	1524.62328
14.4	1546.098466
14.6	1567.663824
14.8	1589.180218
15	1610.715518
15.2	1632.228034
15.4	1653.686251
15.6	1675.207493
15.8	1696.683163
16	1718.15447
16.2	1739.665531
16.4	1761.150413
16.6	1782.613478
16.8	1804.07509
17	1825.511976
17.2	1847.012856
17.4	1868.503555
17.6	1890.000072
17.8	1911.493195
18	1932.956746
18.2	1954.400904
18.4	1975.929418
18.6	1997.374546
18.8	2018.877365
19	2040.419938
19.2	2061.952814
19.4	2083.42897
19.6	2104.873613
19.8	2126.347344
20	2147.840952
20.2	2169.244387
20.4	2190.733147
20.6	2212.182154
20.8	2233.60692
21	2255.044291
21.2	2276.437546
21.4	2297.956363
21.6	2319.485362
21.8	2341.032782
22	2362.558387
22.2	2384.034058
22.4	2405.510213
22.6	2427.031454
22.8	2448.432466
23	2469.992491
23.2	2491.402229
23.4	2512.827965
23.6	2534.251277
23.8	2555.627563
24	2577.107597
24.2	2598.5886
24.4	2620.018214
24.6	2641.507944
24.8	2662.911379
25	2684.367658
25.2	2705.830723
25.4	2727.211373
25.6	2748.76752
25.8	2770.335302
26	2791.86721
26.2	2813.377786
26.4	2834.864606
26.6	2856.375667
26.8	2877.913877
27	2899.412818
27.2	2920.784741
27.4	2942.226475
27.6	2963.634758
27.8	2985.090067
28	3006.508531
28.2	3027.942509
28.4	3049.485082
28.6	3070.98887
28.8	3092.484902
29	3113.964451
29.2	3135.472603
29.4	3157.015176
29.6	3178.525267
29.8	3200.004816
30	3221.501333
30.2	3242.944522
30.4	3264.433282
30.6	3285.879864
30.8	3307.435042
31	3328.946587
31.2	3350.478979
31.4	3371.928955
31.6	3393.385234
31.8	3414.854602
32	3436.340453
32.2	3457.802064
32.4	3479.268038
32.6	3500.721893
32.8	3522.13163
33	3543.551064
33.2	3564.962741
33.4	3586.493678
33.6	3607.972258
33.8	3629.50465
34	3650.994379
34.2	3672.486533
34.4	3693.968506
34.6	3715.484414
34.8	3736.933421
35	3758.370307
35.2	3779.865854
35.4	3801.294984
35.6	3822.702298
35.8	3844.183301
36	3865.70939
36.2	3887.227723
36.4	3908.709211
36.6	3930.087922
36.8	3951.527232
37	3972.934061
37.2	3994.348162
37.4	4015.772443
37.6	4037.248598
37.8	4058.731541
38	4080.182486
38.2	4101.638765
38.4	4123.185701
38.6	4144.77336
38.8	4166.379442
39	4187.937528
39.2	4209.366658
39.4	4230.884506
39.6	4252.385386
39.8	4273.824211
40	4295.232979
40.2	4316.727557
40.4	4338.189168
40.6	4359.60036
40.8	4380.90829
41	4402.349539
41.2	4423.826664
41.4	4445.323666
41.6	4466.743584
41.8	4488.269189
42	4509.82873
42.2	4531.427539
42.4	4552.965749
42.6	4574.436571
42.8	4595.976235
43	4617.457723
43.2	4638.881035
43.4	4660.303862
43.6	4681.730568
43.8	4703.170363
44	4724.681424
44.2	4746.156125
44.4	4767.691426
44.6	4789.226726
44.8	4810.779965
45	4832.261938
45.2	4853.686704
45.4	4875.12456
45.6	4896.591504
45.8	4918.019664
46	4939.404192
46.2	4960.832352
46.4	4982.207184
46.6	5003.615952
46.8	5024.961696
47	5046.409248
47.2	5067.939216
47.4	5089.440096
47.6	5110.926432
47.8	5132.4564
48	5153.996064
48.2	5175.496944
48.4	5197.022064
48.6	5218.474464
48.8	5240.014128
49	5261.505312
49.2	5282.928624
49.4	5304.395568
49.6	5325.81888
49.8	5347.256736
50	5368.704288
50.2	5390.161536
50.4	5411.643024
50.6	5433.134208
50.8	5454.620544
51	5476.087488
51.2	5497.593216
51.4	5519.123184
51.6	5540.604672
51.8	5562.032832
52	5583.485232
52.2	5604.894
52.4	5626.385184
52.6	5647.890912
52.8	5669.440272
53	5690.979936
53.2	5712.5196
53.4	5734.015632
53.6	5755.516512
53.8	5777.017392
54	5798.527968
54.2	5819.965824
54.4	5841.418224
54.6	5862.822144
54.8	5884.250304
55	5905.68816
55.2	5927.145408
55.4	5948.64144
55.6	5970.171408
55.8	5991.652896
56	6013.0956
56.2	6034.509216
56.4	6055.956768
56.6	6077.433408
56.8	6098.871264
57	6120.28488
57.2	6141.722736
57.4	6163.1412
57.6	6184.56936
57.8	6206.012064
58	6227.479008
58.2	6248.955648
58.4	6270.485616
58.6	6291.967104
58.8	6313.443744
59	6334.891296
