X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
0.00	-54.30	-5.73	-5.43E+01	5.18463
1.00	-110.66	-2.33	-5.64E+01	2.8893
2.00	-167.17	0.68	-5.65E+01	2.49197
3.00	-222.35	4.77	-5.52E+01	3.58564
4.00	-278.04	8.11	-5.57E+01	2.83232
5.00	-332.55	12.38	-5.45E+01	3.76699
6.00	-386.61	16.86	-5.41E+01	3.98366
7.00	-440.60	21.17	-5.40E+01	3.81633
8.00	-493.37	26.46	-5.28E+01	4.786
9.00	-546.83	30.82	-5.35E+01	3.86867
10.00	-599.97	35.24	-5.31E+01	3.93934
11.00	-652.09	40.44	-5.21E+01	4.71502
12.00	-704.41	45.22	-5.23E+01	4.28869
13.00	-756.66	49.81	-5.22E+01	4.11136
14.00	-809.06	54.00	-5.24E+01	3.71803
15.00	-860.67	58.74	-5.16E+01	4.2667
16.00	-912.31	63.21	-5.16E+01	3.99737
17.00	-964.93	66.46	-5.26E+01	2.78005
18.00	-1017.03	69.98	-5.21E+01	3.05772
19.00	-1069.24	73.16	-5.22E+01	2.71139
20.00	-1121.75	75.79	-5.25E+01	2.16906
21.00	-1175.04	77.39	-5.33E+01	1.14873
22.00	-1228.18	78.91	-5.31E+01	1.0584
23.00	-1282.38	79.11	-5.42E+01	-0.242924
24.00	-1336.36	79.30	-5.40E+01	-0.264253
25.00	-1389.83	79.75	-5.35E+01	0.00841902
26.00	-1443.12	80.14	-5.33E+01	-0.0539094
27.00	-1496.12	80.57	-5.30E+01	-0.00823777
28.00	-1549.37	80.51	-5.33E+01	-0.498566
29.00	-1601.96	80.87	-5.26E+01	-0.0758946
30.00	-1655.29	80.25	-5.33E+01	-1.04922
31.00	-1707.82	80.18	-5.25E+01	-0.499551
32.00	-1760.81	79.42	-5.30E+01	-1.18888
33.00	-1813.79	78.41	-5.30E+01	-1.43321
34.00	-1865.92	78.01	-5.21E+01	-0.818537
35.00	-1918.74	76.68	-5.28E+01	-1.74286
36.00	-1970.78	75.89	-5.20E+01	-1.20919
37.00	-2022.26	75.42	-5.15E+01	-0.883522
38.00	-2074.33	74.11	-5.21E+01	-1.71685
39.00	-2126.02	72.93	-5.17E+01	-1.58518
40.00	-2177.57	71.66	-5.15E+01	-1.67351
41.00	-2229.79	69.47	-5.22E+01	-2.59084
42.00	-2282.10	66.95	-5.23E+01	-2.91716
43.00	-2334.31	64.28	-5.22E+01	-3.05749
44.00	-2386.20	61.69	-5.19E+01	-2.98582
45.00	-2438.06	58.90	-5.19E+01	-3.18215
46.00	-2489.92	55.85	-5.19E+01	-3.43248
47.00	-2541.00	53.34	-5.11E+01	-2.89381
48.00	-2592.16	50.51	-5.12E+01	-3.20913
49.00	-2643.02	47.74	-5.09E+01	-3.15046
50.00	-2693.90	44.69	-5.09E+01	-3.41679
51.00	-2744.19	42.01	-5.03E+01	-3.05712
52.00	-2795.24	38.31	-5.11E+01	-4.06445
53.00	-2846.14	34.53	-5.09E+01	-4.15178
54.00	-2895.35	32.18	-4.92E+01	-2.7051
55.00	-2944.78	29.38	-4.94E+01	-3.15843
56.00	-2994.62	25.93	-4.98E+01	-3.81476
57.00	-3043.34	23.35	-4.87E+01	-2.93309
58.00	-3093.43	19.15	-5.01E+01	-4.55142
59.00	-3142.65	15.59	-4.92E+01	-3.90975
60.00	-3190.77	12.88	-4.81E+01	-3.05807
61.00	-3238.32	10.49	-4.75E+01	-2.7244
62.00	-3286.70	7.04	-4.84E+01	-3.79673
63.00	-3335.74	2.68	-4.90E+01	-4.69606
64.00	-3383.24	-0.39	-4.75E+01	-3.39839
65.00	-3431.13	-4.08	-4.79E+01	-4.02172
66.00	-3478.96	-7.96	-4.78E+01	-4.21105
67.00	-3525.82	-11.11	-4.69E+01	-3.47537
68.00	-3572.21	-14.03	-4.64E+01	-3.2467
69.00	-3618.53	-17.13	-4.63E+01	-3.41903
70.00	-3666.20	-21.82	-4.77E+01	-5.00536
71.00	-3711.87	-24.75	-4.57E+01	-3.24769
72.00	-3755.79	-26.19	-4.39E+01	-1.74502
73.00	-3800.74	-28.88	-4.49E+01	-3.00434
74.00	-3846.06	-32.20	-4.53E+01	-3.62267
75.00	-3891.76	-36.14	-4.57E+01	-4.242
76.00	-3936.79	-39.65	-4.50E+01	-3.81333
77.00	-3980.81	-42.39	-4.40E+01	-3.03866
78.00	-4026.44	-46.99	-4.56E+01	-4.89299
79.00	-4070.44	-50.19	-4.40E+01	-3.49431
80.00	-4113.88	-53.09	-4.34E+01	-3.18664
81.00	-4157.07	-55.98	-4.32E+01	-3.17097
82.00	-4199.78	-58.62	-4.27E+01	-2.9263
83.00	-4243.32	-62.34	-4.35E+01	-4.00463
84.00	-4285.98	-65.43	-4.27E+01	-3.36196
85.00	-4328.46	-68.59	-4.25E+01	-3.43028
86.00	-4372.18	-73.21	-4.37E+01	-4.89961
87.00	-4414.66	-76.85	-4.25E+01	-3.90494
88.00	-4458.07	-81.66	-4.34E+01	-5.07827
89.00	-4499.26	-84.49	-4.12E+01	-3.0896
90.00	-4540.66	-87.78	-4.14E+01	-3.54893
91.00	-4583.15	-92.39	-4.25E+01	-4.86826
92.00	-4623.69	-95.31	-4.05E+01	-3.17158
93.00	-4666.18	-100.41	-4.25E+01	-5.35691
94.00	-4705.64	-102.73	-3.95E+01	-2.56624
95.00	-4744.84	-105.02	-3.92E+01	-2.53857
96.00	-4782.90	-106.43	-3.81E+01	-1.6479
97.00	-4821.56	-108.68	-3.87E+01	-2.49323
98.00	-4859.76	-110.71	-3.82E+01	-2.26555
99.00	-4896.66	-111.68	-3.69E+01	-1.20588
100.00	-4936.02	-115.36	-3.94E+01	-3.91021
101.00	-4971.61	-115.51	-3.56E+01	-0.377539
102.00	-5008.98	-117.68	-3.74E+01	-2.40187
103.00	-5045.59	-119.34	-3.66E+01	-1.8782
104.00	-5080.65	-119.69	-3.51E+01	-0.571524
105.00	-5116.37	-120.93	-3.57E+01	-1.46285
106.00	-5152.15	-122.50	-3.58E+01	-1.77718
107.00	-5188.85	-125.21	-3.67E+01	-2.92851
108.00	-5220.31	-122.94	-3.15E+01	2.06716
109.00	-5255.66	-124.79	-3.53E+01	-2.05317
110.00	-5288.85	-124.73	-3.32E+01	-0.143495
111.00	-5322.11	-124.98	-3.33E+01	-0.457823
112.00	-5354.62	-124.73	-3.25E+01	0.0608485
113.00	-5385.65	-123.24	-3.10E+01	1.29552
114.00	-5416.52	-121.83	-3.09E+01	1.21919
115.00	-5446.82	-120.09	-3.03E+01	1.54486
116.00	-5476.14	-117.62	-2.93E+01	2.28453
117.00	-5506.04	-115.97	-2.99E+01	1.47121
118.00	-5534.24	-112.86	-2.82E+01	2.92988
119.00	-5561.99	-109.55	-2.78E+01	3.13255
120.00	-5590.35	-107.09	-2.84E+01	2.28722
121.00	-5619.43	-105.59	-2.91E+01	1.32089
122.00	-5646.05	-101.88	-2.66E+01	3.54556
123.00	-5673.30	-99.04	-2.72E+01	2.67524
124.00	-5699.66	-95.55	-2.64E+01	3.31991
125.00	-5728.08	-94.36	-2.84E+01	1.02958
126.00	-5754.29	-91.21	-2.62E+01	2.99225
127.00	-5779.06	-86.87	-2.48E+01	4.19092
128.00	-5807.07	-86.01	-2.80E+01	0.710594
129.00	-5832.70	-83.01	-2.56E+01	2.85127
130.00	-5855.99	-77.91	-2.33E+01	4.95394
131.00	-5880.22	-73.99	-2.42E+01	3.76961
132.00	-5905.74	-71.61	-2.55E+01	2.24528
133.00	-5929.90	-68.12	-2.42E+01	3.35595
134.00	-5954.58	-65.37	-2.47E+01	2.60862
135.00	-5977.57	-61.20	-2.30E+01	4.0443
136.00	-6004.03	-60.72	-2.65E+01	0.342967
137.00	-6026.04	-56.05	-2.20E+01	4.54864
138.00	-6049.55	-53.12	-2.35E+01	2.80531
139.00	-6071.36	-48.73	-2.18E+01	4.26798
140.00	-6094.32	-45.73	-2.30E+01	2.88165
