X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
0.00	-1441.48	-40.95	-1441.48	0.706455
1.00	-2871.43	-40.10	-1429.95	0.217436
2.00	-4288.52	-38.41	-1417.09	1.06267
3.00	-5693.39	-36.51	-1404.87	1.26823
4.00	-7086.13	-34.52	-1392.74	1.3718
5.00	-8466.54	-32.20	-1380.41	1.69153
6.00	-9834.91	-29.88	-1368.37	1.70559
7.00	-11191.70	-28.01	-1356.8	1.25557
8.00	-12536.10	-25.80	-1344.44	1.60664
9.00	-13868.90	-23.92	-1332.76	1.26712
10.00	-15189.50	-21.89	-1320.57	1.43226
11.00	-16498.00	-19.83	-1308.52	1.464
12.00	-17794.30	-17.60	-1296.33	1.63581
13.00	-19078.80	-15.55	-1284.5	1.45304
14.00	-20351.60	-13.75	-1272.72	1.21052
15.00	-21612.20	-11.91	-1260.65	1.26309
16.00	-22861.00	-10.20	-1248.77	1.12632
17.00	-24097.80	-8.58	-1236.84	1.03805
18.00	-25322.60	-6.93	-1224.78	1.08203
19.00	-26535.50	-5.43	-1212.92	0.924843
20.00	-27736.50	-3.99	-1200.95	0.874574
21.00	-28925.70	-2.90	-1189.27	0.533221
22.00	-30102.90	-1.75	-1177.2	0.589702
23.00	-31268.20	-0.68	-1165.26	0.509433
24.00	-32421.30	0.48	-1153.14	0.607831
25.00	-33562.20	1.85	-1140.91	0.824062
26.00	-34691.00	3.33	-1128.78	0.933376
27.00	-35807.80	4.76	-1116.8	0.89119
28.00	-36912.50	6.31	-1104.66	1.01892
29.00	-38004.80	8.22	-1092.29	1.3729
30.00	-39085.10	10.00	-1080.39	1.25055
31.00	-40153.90	11.38	-1068.77	0.848864
32.00	-41210.20	13.24	-1056.26	1.34501
33.00	-42254.70	14.79	-1044.56	1.02866
34.00	-43287.20	16.41	-1032.46	1.10639
35.00	-44307.90	17.81	-1020.67	0.881871
36.00	-45316.90	18.82	-1009.03	0.499518
37.00	-46314.50	19.24	-997.591	-0.0784176
38.00	-47299.80	19.93	-985.304	0.190313
39.00	-48273.40	20.32	-973.591	-0.115122
40.00	-49235.90	19.76	-962.505	-1.04764
41.00	-50186.80	18.80	-950.894	-1.45508
42.00	-51126.00	17.48	-939.224	-1.80335
43.00	-52053.50	15.85	-927.521	-2.1182
44.00	-52968.70	14.55	-915.16	-1.77613
45.00	-53871.30	13.74	-902.655	-1.28857
46.00	-54761.50	13.37	-890.188	-0.839756
47.00	-55639.70	13.03	-878.141	-0.811609
48.00	-56505.30	13.13	-865.673	-0.362211
49.00	-57358.70	13.51	-853.371	-0.0784801
50.00	-58200.00	13.96	-841.283	-0.00866582
51.00	-59029.20	14.43	-829.248	0.00881509
52.00	-59846.00	15.32	-816.791	0.446879
53.00	-60650.80	16.24	-804.752	0.46811
54.00	-61443.90	16.78	-793.103	0.0981745
55.00	-62225.30	16.96	-781.438	-0.255095
56.00	-62994.70	17.23	-769.331	-0.165864
57.00	-63752.10	17.42	-757.397	-0.250633
58.00	-64497.60	17.38	-745.592	-0.462985
59.00	-65231.30	17.32	-733.603	-0.492504
60.00	-65952.70	17.34	-721.49	-0.397773
61.00	-66661.90	17.65	-709.177	-0.103459
62.00	-67359.10	17.95	-697.176	-0.120895
63.00	-68044.20	18.29	-685.111	-0.0733307
64.00	-68717.50	18.45	-673.257	-0.237683
65.00	-69378.60	18.76	-661.104	-0.103119
66.00	-70027.80	18.95	-649.188	-0.205805
67.00	-70665.20	18.85	-637.457	-0.49299
68.00	-71290.80	18.58	-625.615	-0.668926
69.00	-71904.10	18.63	-613.26	-0.332945
70.00	-72505.60	18.39	-601.536	-0.626881
71.00	-73094.60	18.67	-589	-0.109317
72.00	-73671.60	18.96	-576.958	-0.0850859
73.00	-74236.20	19.53	-564.659	0.195728
74.00	-74788.90	20.07	-552.671	0.165293
75.00	-75329.50	20.70	-540.548	0.270024
76.00	-75858.20	21.10	-528.77	0.0298378
77.00	-76375.20	21.31	-516.928	-0.146681
78.00	-76880.40	21.23	-505.205	-0.441534
79.00	-77373.60	21.13	-493.193	-0.44772
80.00	-77854.50	21.27	-480.934	-0.207322
81.00	-78323.50	21.32	-469.004	-0.295758
82.00	-78780.30	21.57	-456.786	-0.0961101
83.00	-79225.40	21.49	-445.088	-0.416129
84.00	-79658.20	21.66	-432.823	-0.169982
85.00	-80079.20	21.60	-421.028	-0.392667
86.00	-80488.60	21.19	-409.35	-0.733353
87.00	-80886.60	20.07	-398.042	-1.44329
88.00	-81273.00	18.53	-386.439	-1.85839
89.00	-81647.50	16.92	-374.491	-1.92924
90.00	-82009.70	15.59	-362.19	-1.64593
91.00	-82359.40	14.73	-349.697	-1.17145
92.00	-82697.10	13.86	-337.679	-1.17197
93.00	-83023.80	11.93	-326.725	-2.23549
94.00	-83338.10	10.44	-314.263	-1.79192
95.00	-83640.50	8.78	-302.406	-1.95344
96.00	-83930.80	7.19	-290.317	-1.88279
97.00	-84209.10	5.59	-278.304	-1.88806
98.00	-84475.30	4.10	-266.167	-1.7695
99.00	-84729.40	2.63	-254.136	-1.75652
100.00	-84971.40	1.27	-241.992	-1.63045
101.00	-85201.10	0.24	-229.656	-1.31264
102.00	-85419.00	-1.12	-217.95	-1.62533
103.00	-85625.10	-2.67	-206.123	-1.81684
104.00	-85819.70	-4.65	-194.529	-2.24053
105.00	-86002.70	-7.11	-182.989	-2.71905
106.00	-86173.40	-9.31	-170.706	-2.45449
107.00	-86331.50	-10.98	-158.157	-1.92367
108.00	-86477.20	-12.19	-145.677	-1.46227
109.00	-86611.00	-13.50	-133.752	-1.55496
