X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
19.38	-8.51	0.48	-0.0147059	-0.0706057
20.40	-8.61	0.35	-0.0441176	-0.10089
21.42	-8.60	0.34	0.0980392	0.0403939
22.44	-8.41	0.50	0.196078	0.13756
23.46	-8.20	0.69	0.181373	0.121982
24.48	-8.04	0.82	0.0392157	-0.021048
25.50	-8.12	0.71	-0.279412	-0.340548
26.52	-8.61	0.19	-0.357843	-0.419852
27.54	-8.85	-0.08	-0.137255	-0.200137
28.56	-8.89	-0.15	0.00980392	-0.0539508
29.58	-8.83	-0.12	0.0490196	-0.0156079
30.60	-8.79	-0.12	0.0490196	-0.0164807
31.62	-8.73	-0.09	0.117647	0.051274
32.64	-8.55	0.05	0.0539216	-0.0133243
33.66	-8.62	-0.06	-0.240196	-0.308315
34.68	-9.04	-0.51	-0.235294	-0.304285
35.70	-9.10	-0.62	0	-0.0698642
36.72	-9.04	-0.60	0.0980392	0.0273023
37.74	-8.90	-0.50	0.132353	0.0607432
38.76	-8.77	-0.41	-0.0392157	-0.111698
39.78	-8.98	-0.67	-0.117647	-0.191002
40.80	-9.01	-0.75	-0.0588235	-0.133052
41.82	-9.10	-0.88	-0.308824	-0.383924
42.84	-9.64	-1.47	-0.279412	-0.355385
43.86	-9.67	-1.55	0.0882353	0.011389
44.88	-9.46	-1.39	0.142157	0.0644378
45.90	-9.38	-1.36	0.0147059	-0.063886
46.92	-9.43	-1.47	-0.0196078	-0.0990725
47.94	-9.42	-1.51	0.137255	0.0569175
48.96	-9.15	-1.29	0.137255	0.0560447
49.98	-9.14	-1.34	0.00490196	-0.077181
51.00	-9.14	-1.40	0.22549	0.142534
52.02	-8.68	-1.00	0.254902	0.171073
53.04	-8.62	-1.00	-0.0539216	-0.138623
54.06	-8.79	-1.23	-0.161765	-0.247339
55.08	-8.95	-1.46	0.0294118	-0.0570351
56.10	-8.73	-1.30	0.147059	0.0597392
57.12	-8.65	-1.29	-0.0539216	-0.142114
58.14	-8.84	-1.54	-0.107843	-0.196908
59.16	-8.87	-1.64	0.166667	0.0767287
60.18	-8.50	-1.34	0.22549	0.134679
61.20	-8.41	-1.32	-0.0294118	-0.121095
62.22	-8.56	-1.53	-0.122549	-0.215105
63.24	-8.66	-1.71	-0.181373	-0.274802
64.26	-8.93	-2.05	-0.176471	-0.270772
65.28	-9.02	-2.22	-0.0784314	-0.173606
66.30	-9.09	-2.36	-0.127451	-0.223498
67.32	-9.28	-2.62	-0.0245098	-0.12143
68.34	-9.14	-2.56	-0.00490196	-0.102695
69.36	-9.29	-2.79	0.117647	0.0189814
70.38	-8.90	-2.48	0.196078	0.09654
71.40	-8.89	-2.56	0.0882353	-0.0121759
72.42	-8.72	-2.47	0.5	0.398716
73.44	-7.87	-1.70	0.70098	0.598824
74.46	-7.29	-1.21	0.22549	0.122461
75.48	-7.41	-1.41	-0.112745	-0.216647
