L(mm) 	R2 slope x 1E6 / urad
48	-3.750291862
49.2	-3.177360224
50.4	-2.50646935
51.6	-1.74916401
52.8	-0.958274361
54	-0.181580941
55.2	0.518500162
56.4	1.120415445
57.6	1.61223649
58.8	1.987873266
60	2.231557992
61.2	2.303579653
62.4	2.186395215
63.6	1.876526817
64.8	1.44057469
66	0.94455252
67.2	0.484152205
68.4	0.085584411
69.6	-0.247556671
70.8	-0.566310657
72	-0.896372047
73.2	-1.243133357
74.4	-1.553963831
75.6	-1.764392579
76.8	-1.810909855
78	-1.686899385
79.2	-1.440661711
80.4	-1.167399427
81.6	-0.96171198
82.8	-0.885473535
84	-0.938534553
85.2	-1.068251166
86.4	-1.21564577
87.6	-1.332362427
88.8	-1.407650872
90	-1.441881152
91.2	-1.442210103
92.4	-1.405251564
93.6	-1.332676669
94.8	-1.252122359
96	-1.197687591
97.2	-1.216962843
98.4	-1.303612423
99.6	-1.430792058
100.8	-1.512907468
102	-1.496247762
103.2	-1.33075135
104.4	-1.014502587
105.6	-0.556714254
106.8	0.011832197
108	0.653397321
109.2	1.315633764
110.4	1.950034049
111.6	2.525762935
112.8	3.0375782
114	3.481190972
115.2	3.847800989
116.4	4.091987092
117.6	4.179780121
118.8	4.090474061
120	3.865887048
121.2	3.582826839
122.4	3.339695209
123.6	3.192293265
124.8	3.143823605
126	3.135767799
127.2	3.079130564
128.4	2.884269676
129.6	2.501614382
130.8	1.920119563
132	1.184388388
133.2	0.365994592
134.4	-0.424285418
135.6	-1.108856197
136.8	-1.618224147
138	-1.955777143
139.2	-2.145659469
140.4	-2.227756095
141.6	-2.209209105
142.8	-2.058373849
144	-1.750770601
145.2	-1.279009292
146.4	-0.739794013
147.6	-0.228863193
148.8	0.118351325
150	0.299576199
151.2	0.355350606
152.4	0.424762381
153.6	0.575663366
154.8	0.832692192
156	1.130617083
157.2	1.396256691
158.4	1.58316733
159.6	1.683524707
160.8	1.715846151
162	1.668892564
163.2	1.521299654
164.4	1.221611205
165.6	0.753709735
166.8	0.125181622
168	-0.594783663
169.2	-1.327823987
170.4	-1.961263524
171.6	-2.429612041
172.8	-2.67692714
174	-2.709662617
175.2	-2.553511112
176.4	-2.284589274
177.6	-1.966813357
178.8	-1.675058425
180	-1.434852995
181.2	-1.249246385
182.4	-1.074554645
183.6	-0.88268678
184.8	-0.649637731
186	-0.403471412
187.2	-0.176792382
188.4	-0.019086903
189.6	0.064969677
190.8	0.092862465
192	0.125349124
193.2	0.210126982
194.4	0.385991572
195.6	0.633806285
196.8	0.904279521
198	1.105740894
199.2	1.168532972
200.4	1.02967897
201.6	0.693757347
202.8	0.195287668
204	-0.370002652
205.2	-0.920203433
206.4	-1.354864934
207.6	-1.63450001
208.8	-1.737569951
210	-1.686759194
211.2	-1.499846465
212.4	-1.193064553
213.6	-0.756916585
214.8	-0.176219583
216	0.554170165
217.2	1.415420408
218.4	2.347688391
219.6	3.277478815
220.8	4.127922227
222	4.840601397
223.2	5.389684772
224.4	5.770573297
225.6	5.991913942
226.8	6.063799534
228	5.990244357
229.2	5.771403586
230.4	5.404796997
231.6	4.902107288
232.8	4.283828201
234	3.605145376
235.2	2.91285893
236.4	2.265192066
237.6	1.67508033
238.8	1.13909524
240	0.612354566
241.2	0.061438307
242.4	-0.55001601
243.6	-1.225195234
244.8	-1.955075661
246	-2.698190632
247.2	-3.404861238
248.4	-4.002071346
249.6	-4.425489755
250.8	-4.63342235
252	-4.633747191
253.2	-4.476576243
254.4	-4.251403643
255.6	-4.040910225
256.8	-3.900108891
258	-3.838242287
259.2	-3.828832237
260.4	-3.82129602
261.6	-3.771283335
262.8	-3.652465377
264	-3.465973601
265.2	-3.22691273
266.4	-2.957957206
267.6	-2.662100446
268.8	-2.334146483
270	-1.952230518
271.2	-1.514503228
272.4	-1.029444298
273.6	-0.535800446
274.8	-0.065353011
276	0.348692597
277.2	0.702065297
278.4	0.999487068
279.6	1.249857493
280.8	1.449137418
282	1.568842669
283.2	1.575892173
284.4	1.436462422
285.6	1.151239469
286.8	0.739684104
288	0.256328199
289.2	-0.252380081
290.4	-0.740747638
291.6	-1.180868652
292.8	-1.555840125
294	-1.851217878
295.2	-2.047235049
296.4	-2.118006591
297.6	-2.012518232
298.8	-1.709137075
300	-1.20777734
