mirror dimensions: 400mmx70mmx80mm 
Scan Length = 360 mm
measurement step = 1mm
x(mm)	Slope (urad)
52.0000000	0.2375589
53.0000000	0.3184152
54.0000000	0.3570891
55.0000000	0.3545808
56.0000000	0.3233907
57.0000000	0.3675192
58.0000000	0.4070665
59.0000000	0.3502331
60.0000000	0.2887192
61.0000000	0.3526251
62.0000000	0.4327512
63.0000000	0.4151979
64.0000000	0.3275654
65.0000000	0.3397542
66.0000000	0.4087644
67.0000000	0.5238965
68.0000000	0.6248508
69.0000000	0.4553275
70.0000000	0.1956272
71.0000000	0.2655500
72.0000000	0.4545963
73.0000000	0.5479664
74.0000000	0.4628608
75.0000000	0.3515796
76.0000000	0.2620232
77.0000000	0.3098921
78.0000000	0.3730864
79.0000000	0.4049065
80.0000000	0.3387528
81.0000000	0.3049256
82.0000000	0.2743252
83.0000000	0.3055519
84.0000000	0.3647061
85.0000000	0.3655882
86.0000000	0.2541984
87.0000000	0.2274370
88.0000000	0.3022045
89.0000000	0.4018011
90.0000000	0.4782271
91.0000000	0.4970830
92.0000000	0.4268690
93.0000000	0.2335854
94.0000000	0.2158327
95.0000000	0.3501110
96.0000000	0.4799208
97.0000000	0.5089625
98.0000000	0.4561361
99.0000000	0.4782423
100.0000000	0.4976812
101.0000000	0.4658202
102.0000000	0.4841264
103.0000000	0.4668001
104.0000000	0.5162417
105.0000000	0.5242515
106.0000000	0.4509299
107.0000000	0.3849771
108.0000000	0.3104935
109.0000000	0.4354795
110.0000000	0.6258354
111.0000000	0.7461615
112.0000000	0.7141580
113.0000000	0.5678255
114.0000000	0.4068641
115.0000000	0.4264743
116.0000000	0.5367564
117.0000000	0.5361106
118.0000000	0.4346373
119.0000000	0.4103369
120.0000000	0.4521097
121.0000000	0.5371560
122.0000000	0.5341761
123.0000000	0.5323704
124.0000000	0.4490392
125.0000000	0.3720829
126.0000000	0.4593017
127.0000000	0.5158960
128.0000000	0.3464662
129.0000000	0.1903125
130.0000000	0.2879353
131.0000000	0.3756350
