1360mmx160mmx50mm 	
Scan Length = 1200 mm	
measurement step = 1mm	
x(mm)	Slope (urad)
-600	-32.254
-599	-32.076
-598	-32.423
-597	-32.552
-596	-32.601
-595	-32.534
-594	-32.286
-593	-32.616
-592	-32.222
-591	-32.639
-590	-32.125
-589	-32.76
-588	-32.079
-587	-32.772
-586	-31.989
-585	-33.027
-584	-32.179
-583	-32.942
-582	-32.063
-581	-32.752
-580	-32.01
-579	-32.552
-578	-31.652
-577	-32.074
-576	-31.323
-575	-31.618
-574	-31.071
-573	-31.308
-572	-30.814
-571	-30.768
-570	-30.613
-569	-30.551
-568	-30.569
-567	-30.184
-566	-30.368
-565	-29.945
-564	-30.156
-563	-29.546
-562	-29.893
-561	-29.287
-560	-29.816
-559	-29.217
-558	-29.747
-557	-28.965
-556	-29.532
-555	-28.947
-554	-29.403
-553	-28.823
-552	-29.468
-551	-28.822
-550	-29.218
-549	-28.944
-548	-29.278
-547	-29.046
-546	-29.169
-545	-29.001
-544	-29.302
-543	-29.431
-542	-29.342
-541	-29.429
-540	-29.3
-539	-29.499
-538	-29.146
-537	-29.351
-536	-28.89
-535	-29.213
-534	-28.737
-533	-29.038
-532	-28.571
-531	-28.906
-530	-28.434
-529	-28.9
-528	-28.464
-527	-28.864
-526	-28.457
-525	-28.746
-524	-28.344
-523	-28.567
-522	-28.34
-521	-28.601
-520	-28.259
-519	-28.283
-518	-28.21
-517	-28.148
-516	-28.06
-515	-28.042
-514	-28.259
-513	-28.157
-512	-28.13
-511	-27.838
-510	-27.938
-509	-27.452
-508	-27.489
-507	-27.01
-506	-27.309
-505	-26.826
-504	-27.12
-503	-26.65
-502	-27.11
-501	-26.486
-500	-27.04
-499	-26.412
-498	-26.894
-497	-26.354
-496	-26.866
-495	-26.541
-494	-26.985
-493	-26.24
-492	-26.329
-491	-26.391
-490	-26.54
-489	-26.385
-488	-26.455
-487	-26.402
-486	-26.242
-485	-26.146
-484	-25.875
-483	-25.965
-482	-25.645
-481	-25.836
-480	-25.489
-479	-25.703
-478	-25.244
-477	-25.418
-476	-24.937
-475	-25.233
-474	-25.058
-473	-25.513
-472	-25.051
-471	-25.473
-470	-25.087
-469	-25.164
-468	-24.898
-467	-25.217
-466	-25.091
-465	-25.268
-464	-25.2
-463	-25.324
-462	-25.093
-461	-25.426
-460	-24.929
-459	-25.082
-458	-24.973
-457	-25.109
-456	-25.151
-455	-24.972
-454	-25.251
-453	-25.018
-452	-25.233
-451	-24.852
-450	-25.281
-449	-24.74
-448	-24.955
-447	-24.487
-446	-24.511
-445	-24.118
-444	-24.249
-443	-24.001
-442	-24.223
-441	-24.052
-440	-24.063
-439	-23.917
-438	-24.009
-437	-23.944
-436	-24.144
-435	-24.061
-434	-24.003
-433	-23.774
-432	-23.76
-431	-23.773
-430	-23.706
-429	-23.667
-428	-23.478
-427	-23.931
-426	-23.644
-425	-23.871
-424	-23.587
-423	-23.765
-422	-23.603
-421	-23.619
-420	-23.39
-419	-23.4
-418	-23.211
-417	-23.193
-416	-22.836
-415	-22.88
-414	-22.684
-413	-23.185
-412	-22.952
-411	-22.954
-410	-22.718
-409	-22.829
-408	-22.6
-407	-22.772
-406	-22.642
-405	-22.718
-404	-22.63
-403	-22.602
-402	-22.506
-401	-22.547
-400	-22.539
-399	-22.463
-398	-22.547
-397	-22.512
-396	-22.64
-395	-22.429
-394	-22.428
-393	-22.307
-392	-22.346
-391	-22.19
-390	-22.389
-389	-22.216
-388	-22.203
-387	-22.037
-386	-22.255
-385	-22.134
-384	-22.284
-383	-22.004
-382	-21.964
-381	-21.665
-380	-21.599
-379	-21.344
-378	-21.561
-377	-21.379
-376	-21.416
-375	-21.307
-374	-21.299
-373	-21.265
-372	-21.231
-371	-21.171
-370	-21.124
-369	-21.152
-368	-20.88
-367	-20.974
-366	-20.945
-365	-21.198
-364	-21.136
-363	-21.191
-362	-20.938
-361	-20.934
-360	-20.893
-359	-20.914
-358	-20.718
-357	-20.858
-356	-20.717
-355	-20.873
-354	-20.572
-353	-20.674
-352	-20.525
-351	-20.638
-350	-20.293
-349	-20.297
