40mmx20mmx20mm 	
Scan Length = 32 mm	
measurement step = 0.2mm	
x(mm)	Slope (urad)
-16	-330.4570007
-15.8	-326.8790016
-15.5999999	-323.3059998
-15.4000001	-319.6199989
-15.2	-315.9429989
-15	-312.2749996
-14.8	-308.4850006
-14.5999999	-304.7979994
-14.4000001	-301.1090002
-14.2	-297.3459997
-14	-293.6619997
-13.8000002	-289.9399998
-13.5999999	-286.1829996
-13.4000001	-282.5299997
-13.1999998	-278.868
-13	-275.0949993
-12.8000002	-271.3950005
-12.5999999	-267.618
-12.4000001	-263.757
-12.1999998	-259.8759995
-12	-255.9720001
-11.8000002	-252.0289993
-11.5999999	-248.0999985
-11.4000001	-244.1399994
-11.1999998	-240.211998
-11	-236.2360001
-10.8000002	-232.3089981
-10.5999999	-228.4039993
-10.4000001	-224.4660034
-10.1999998	-220.5630035
-10	-216.6529999
-9.8000002	-212.697998
-9.6000004	-208.723999
-9.3999996	-204.7929993
-9.1999998	-200.7689972
-9	-196.7539978
-8.8000002	-192.7440033
-8.6000004	-188.625
-8.3999996	-184.5960007
-8.1999998	-180.4850006
-8	-176.2669983
-7.8000002	-172.0910034
-7.6000004	-167.9260025
-7.3999996	-163.798996
-7.1999998	-159.7059937
-7	-155.5410004
-6.8000002	-151.401001
-6.6000004	-147.246994
-6.3999996	-142.996994
-6.1999998	-138.7810059
-6	-134.5189972
-5.8000002	-130.2460022
-5.6000004	-126.003006
-5.3999996	-121.7649994
-5.1999998	-117.4499969
-5	-113.1710052
-4.8000002	-108.8670044
-4.6000004	-104.5720062
-4.3999996	-100.1900024
-4.1999998	-95.7870026
-4	-91.3789978
-3.8000002	-86.9880066
-3.6000004	-82.5679932
-3.3999996	-78.102005
-3.1999998	-73.5700073
-3	-69.0390015
-2.8000002	-64.5410004
-2.6000004	-60.1300049
-2.3999996	-55.6679993
-2.1999998	-51.177002
-2	-46.7079926
-1.7999992	-42.1569977
-1.6000004	-37.5789948
-1.3999996	-32.9159851
-1.2000008	-28.4150085
-1	-23.7479858
-0.7999992	-19.0650024
-0.6000004	-14.3240051
-0.3999996	-9.5429993
-0.2000008	-4.8210144
0	0
0.2000008	4.7829895
0.3999996	9.5970154
0.6000004	14.4400024
0.7999992	19.269989
1	24.0740051
1.2000008	28.9249878
1.3999996	33.6600037
1.6000004	38.3909912
1.7999992	43.2709961
2	48.20401
2.2000008	53.1539917
2.3999996	58.098999
2.6000004	63.0559998
2.7999992	67.9890137
3	72.9920044
3.2000008	77.9979858
3.3999996	83.0020142
3.6000004	88.1019897
3.7999992	93.2189941
4	98.355011
4.2000008	103.4769897
4.3999996	108.4609985
4.6000004	113.5549927
4.7999992	118.7059937
5	123.927002
5.2000008	129.1400146
5.3999996	134.3399963
5.6000004	139.4989929
5.7999992	144.7210083
6	150.0190125
6.2000008	155.2929993
6.3999996	160.6380005
6.6000004	166.0599976
6.7999992	171.3710022
7	176.8059998
7.2000008	182.2709961
7.3999996	187.7380066
7.6000004	193.3439941
7.7999992	198.8829956
8	204.3380127
8.2000008	209.8919983
8.3999996	215.4530029
8.6000004	220.9930115
8.7999992	226.5899963
9	232.0899963
9.2000008	237.6509705
9.3999996	243.2840271
9.6000004	248.9269714
9.7999992	254.5810242
10	260.3379822
10.2000008	266.071991
10.3999996	271.8470154
10.6000004	277.6960144
10.7999992	283.5539856
11	289.3069763
11.2000008	295.2889709
11.3999996	301.269989
11.6000004	307.2400208
11.7999992	313.23703
12	319.2500305
12.2000008	325.2200012
12.3999996	331.2519836
12.6000004	337.3269958
12.7999992	343.4040222
13	349.4159851
13.2000008	355.4779968
13.3999996	361.5940247
13.6000004	367.7900085
13.7999992	374.0249939
14	380.2850037
14.2000008	386.6039734
14.4000015	392.9300232
14.5999985	399.3119812
14.7999992	405.7549744
15	412.1629944
15.2000008	418.5730286
15.4000015	424.9720154
15.5999985	431.3260193
15.7999992	437.7049866
16	444.0890198
